name,rating,user_ratings_total
C&K Barbecue Restaurant,3.8,1319.0
Church's Texas Chicken,3.3,1013.0
Imo's Pizza,3.6,373.0
Yet Bun Chop Suey,4.4,432.0
B&I Eatery,4.1,61.0
Yang Cheng Chop Suey,4.3,56.0
Fish House,4.4,60.0
Year of the Dragon,4.3,362.0
Chop Suey Inn,4.0,69.0
Trap Pizza,4.0,4.0
Motown Pit Stop,4.1,53.0
St.Louis Fish & Chicken Grill -NORTH OAKS PLAZA,4.1,243.0
Daiqs Bar & Grill,4.8,70.0
Vibezz Kitchen & Hookah Lounge,,
Debbie's Delights,4.0,64.0
The BBQ Shack,3.8,220.0
Honey's,5.0,5.0
Quick Shop,3.9,114.0
Miami Grill,4.2,280.0
Intimate creations catering,5.0,1.0
Ari's Ice Cream Parlor & Cafe,4.7,359.0
Moon’s Treats,5.0,1.0
Sweet's place inc.,4.0,2.0
Shark & Deli,4.4,368.0
JJ Munchies Snack Shop,5.0,4.0
Big Jigga’s BBQ,5.0,1.0
DaView BBQ,3.6,8.0
GLOBAL MART,4.7,48.0
Ceasar’s Market LLC,4.0,12.0
Burger King,3.2,1132.0
The Original Crusoe's Restaurant & Patrick McKeane's Pub,4.3,1234.0
Little Caesars Pizza,3.8,744.0
Chimichanga's Mexican Restaurant,4.4,1447.0
Subway,3.8,95.0
Starbucks,4.0,517.0
Urban Eats,4.4,228.0
Cecil Whittaker's Pizzeria,4.5,599.0
Domino's Pizza,2.8,716.0
Imo's Pizza,4.1,674.0
Grand Wok Chinese Kitchen,4.0,275.0
Jack in the Box,3.0,1098.0
China King,4.0,314.0
Your Place Diner,4.7,143.0
Off Fifty Five Bar & Grill,4.6,90.0
Caribbean Soul,4.5,4.0
Normitas House (birria tacos),5.0,7.0
Doggie Mac's,,
El gran taco,5.0,1.0
Casablanca Lounge,4.8,4.0
L&S Breadway Café,,
Doña Gloria,4.5,66.0
Royal Kebab Persian Cuisine,4.4,285.0
Chicken Seven,4.5,269.0
Hummel's Pub,4.6,94.0
The Off Track Saloon,4.6,427.0
Ho's Chinese Restaurant,4.4,187.0
Grill 55,4.5,38.0
Dutchtown Market,4.4,273.0
Wine Down Cafe (St. Louis),4.8,137.0
Tacos la Jefa STL,4.7,143.0
Beignet All Day,4.9,16.0
All Rolled Up,4.9,19.0
Sugoi Sushi,5.0,16.0
Uncle Bill's Pancakes,4.3,4278.0
Das Bevo,4.1,717.0
Hartford Coffee Company,4.5,825.0
Blackthorn Pub and Pizza,4.4,1116.0
The Shaved Duck Smokehouse,4.5,2686.0
Subway,3.8,217.0
The Royale Food & Spirits,4.5,943.0
Favazza's on the Hill,4.5,2588.0
QDOBA Mexican Eats,3.9,697.0
Wendy's,3.6,1407.0
Friendly's Sports Bar & Grill,4.4,733.0
Bomber O'Brien's Sports Bar & Grill,4.3,457.0
Alpha Brewing Company,4.5,328.0
Wingstop,3.6,463.0
SweetArt,4.7,1213.0
Tree House Restaurant,4.6,1011.0
Meskerem Ethiopian Restaurant,4.6,1064.0
LemonGrass Restaurant,3.8,405.0
The Gelateria Coffee Company,4.6,675.0
Taco Bell,3.4,1456.0
Cafe Mochi,4.4,1414.0
The Vine Cafe and Market,4.4,1524.0
Old St Louis Chop Suey,4.0,438.0
QuikTrip,3.2,61.0
Truc Lam Restaurant,4.5,312.0
Jonnys food mart,4.4,317.0
Sheesh,4.3,837.0
Brasilia Bar & Restaurant,4.6,657.0
Slackers Bar & Grill,3.9,17.0
San Loo,4.7,119.0
Steak 'n Shake,3.4,1406.0
Palacios Mexican Restaurant,4.5,232.0
Starbucks,4.2,562.0
Ices Plain & Fancy,4.7,1336.0
Tower Pub,4.6,430.0
The Choice Restaurant,3.9,436.0
Sonic Drive-In,3.2,1903.0
Imo's Pizza,4.1,311.0
Lee's Famous Recipe Chicken,4.0,642.0
Starbucks,4.2,832.0
KFC,3.5,764.0
