name,rating,user_ratings_total
Golden Pancake Restaurant,4.2,2204.0
Taco Bell,3.4,1393.0
Domino's Pizza,2.9,399.0
Nick & Elena's Pizzeria,4.4,932.0
"Bandana's Bar-B-Q St Ann, MO",4.4,1504.0
Acapulco Restaurant,4.1,676.0
Chili's Grill & Bar,3.4,1307.0
"Jamba STL - St. Louis Airport, C23",3.5,58.0
Great Wraps,3.4,84.0
Burger King,2.8,290.0
The Pasta House Co.,3.4,355.0
Auntie Anne's- Lambert International Airport,1.7,38.0
Bagel Bakery,3.7,185.0
Subway,3.7,245.0
Pizza Studio,3.9,69.0
Grounded,3.0,150.0
Dunkin',3.3,240.0
Big Jays Chicken And Shrimp,4.3,674.0
White Castle,3.6,2906.0
Omar's Grill,4.1,703.0
Foley's Fun and Drink,4.4,83.0
Circle K,3.5,52.0
Steak 'n Shake,3.5,2242.0
Final Destination Bar & Cafe,4.4,192.0
Dairy Queen,4.2,934.0
Applebee's Grill + Bar,3.9,1367.0
Imo's Pizza,3.8,563.0
Captain D's,3.6,894.0
BS Bar & Grill,4.4,246.0
Raising Cane's Chicken Fingers,4.2,1192.0
Rally's,3.7,1263.0
China Moon,3.8,211.0
Lee's Famous Recipe Chicken,3.9,889.0
House of Chen,4.2,238.0
McDonald's,3.3,2339.0
Jack in the Box,3.0,1164.0
